task_id,task_description,priority,status,category,due_date,assigned_to,estimated_hours
1,Complete project proposal for AI task management system,High,Pending,Planning,2024-12-01,Alice,4.0
2,Implement data preprocessing pipeline,Medium,In Progress,Development,2024-11-25,Bob,6.0
3,Conduct exploratory data analysis on task dataset,High,Completed,Analysis,2024-11-20,Charlie,3.0
4,Train machine learning models for task classification,High,In Progress,ML,2024-12-05,Alice,8.0
5,Create user interface for task dashboard,Medium,Pending,UI,2024-12-10,Diana,5.0
6,Write unit tests for core functions,Low,Pending,Testing,2024-12-15,Eve,2.0
7,Optimize model performance using hyperparameter tuning,High,Not Started,ML,2024-12-08,Bob,4.0
8,Prepare documentation for API endpoints,Medium,In Progress,Documentation,2024-11-30,Charlie,3.0
9,Set up continuous integration pipeline,Low,Pending,DevOps,2024-12-20,Diana,6.0
10,Review and refactor legacy code,Medium,Not Started,Maintenance,2024-12-12,Eve,5.0
11,Design database schema for task storage,High,Completed,Database,2024-11-18,Alice,4.0
12,Implement authentication and authorization,High,In Progress,Security,2024-12-03,Bob,7.0
13,Create data visualization charts,Medium,Pending,Analysis,2024-12-07,Charlie,3.0
14,Perform cross-validation on trained models,High,Not Started,ML,2024-12-10,Diana,4.0
15,Conduct user acceptance testing,Low,Pending,Testing,2024-12-18,Eve,3.0
16,Deploy application to production environment,High,Not Started,Deployment,2024-12-15,Alice,6.0
17,Monitor system performance and logs,Medium,Pending,Monitoring,2024-12-20,Bob,2.0
18,Update project dependencies,Low,Not Started,Maintenance,2024-12-22,Charlie,1.0
19,Create user manual and help documentation,Medium,Pending,Documentation,2024-12-25,Diana,4.0
20,Plan sprint retrospective meeting,Low,Pending,Planning,2024-12-28,Eve,1.0
21,Social Media Post Creation: Design and post content for Instagram and LinkedIn to boost engagement.,High,Pending,Work,2025-10-25,Unassigned,0.5
22,I have to call a client today,Low,Pending,Work,2025-10-30,Unassigned,0.5
23,i have to do something special today,High,Pending,Work,2025-10-30,Unassigned,0.5
24,i have a work ,Low,Pending,Work,2025-11-04,Unassigned,0.5
25,Daily Learning Goal – Study one new ML concept or Python library daily.,High,Pending,Personal,2025-11-05,Unassigned,0.5
26,Frontend Design for Dashboard – Create a responsive dashboard using React and Tailwind CSS.,Medium,Pending,Learning,2025-11-05,Unassigned,0.5
27,"Train Sentiment Analysis Model – Build and evaluate a model to classify customer feedback as positive, neutral, or negative.",High,Pending,Personal,2025-11-05,Unassigned,0.5
