task_id,task_description,priority,status,category,due_date,assigned_to,estimated_hours
1,Building edge degree condition tonight product market baby them ten address money better join would.,High,Pending,Work,2026-03-28,Charlie,8
2,Factor even note finish sure page station economic cut trial.,High,In Progress,Career,2026-08-09,Alice,2
3,Strategy parent author deep common south movement else begin eat might.,Low,Pending,Career,2026-09-12,Charlie,6
4,How summer pass economy edge road news election page kid doctor bar.,Low,In Progress,Health,2026-07-11,Diana,9
5,Continue treatment could property those option.,Low,Completed,Home,2026-04-15,Alice,3
6,Take important up put foreign until skill.,Low,Completed,Personal,2025-12-19,Diana,7
7,Difficult name religious those method consumer bank onto.,High,Completed,Health,2026-09-29,Diana,6
8,Interesting find decade should hour test kind head.,Low,In Progress,Work,2026-06-30,Diana,6
9,Behavior loss number direction majority anything never mention research direction model low power money he money.,Medium,Pending,Learning,2026-03-29,Frank,7
10,Three actually west create north return arrive very other.,Medium,Pending,Career,2026-01-13,Alice,4
11,Series structure woman less expect policy able my teach bar get yes.,High,In Progress,Career,2025-12-08,Eve,10
12,Environment phone laugh action him.,Medium,Pending,Work,2026-09-24,Alice,10
13,Small true fight red once memory right shake.,Medium,In Progress,Learning,2026-02-03,Grace,7
14,Treat economic develop democratic knowledge.,Medium,In Progress,Personal,2026-05-01,Alice,1
15,Interview many stay spend office five stock church town.,High,Pending,Learning,2026-05-17,Alice,2
16,Actually science tax everyone cost data suddenly responsibility others treat particular good everyone admit recognize stay.,Low,Pending,Personal,2026-01-15,Diana,8
17,Child surface purpose together which ask.,Low,Completed,Career,2026-10-25,Grace,5
18,Term vote opportunity himself poor hold him work buy begin second have election party although late trial everybody list.,High,Completed,Personal,2026-08-25,Henry,3
19,Sound road fish discuss mean provide while analysis face.,High,In Progress,Work,2026-04-04,Frank,4
20,Career sea college similar experience seat understand feel most hard.,Low,In Progress,Work,2026-01-31,Bob,2
21,Should pressure daughter decade could tonight appear everybody.,Low,Pending,Home,2026-06-06,Eve,8
22,Network draw me until here.,Medium,Completed,Personal,2025-11-19,Alice,3
23,Mean week capital off movie do program use relationship court camera research could.,Medium,In Progress,Home,2026-10-19,Henry,9
24,Believe play often area while fine.,High,In Progress,Learning,2026-09-24,Diana,4
25,Two large risk group usually thought occur than reality ten left finally moment.,High,Pending,Work,2026-03-14,Bob,5
26,Again shoulder nothing town time shake.,Low,Completed,Work,2025-11-10,Henry,9
27,Here accept state court skill total current summer minute perhaps road lead professional nice light eight material industry.,High,Completed,Home,2026-09-18,Henry,6
28,Share economic stop day cost pass.,Low,In Progress,Health,2026-08-30,Grace,10
29,Behind size report.,Low,In Progress,Personal,2026-01-18,Eve,10
30,Mission sing major you we result or man.,Medium,Pending,Career,2025-11-22,Frank,1
31,Stop energy environmental line another nor join history candidate.,High,Pending,Learning,2025-11-25,Frank,10
32,Language truth turn.,High,In Progress,Learning,2026-10-28,Frank,9
33,See decide help deal form rest under number international.,Low,In Progress,Learning,2026-02-03,Charlie,8
34,Fall trouble site million interest to animal fast thus key.,Low,In Progress,Personal,2025-12-04,Henry,1
